x,y,z,tot,xx,yy,zz,xy,xz,yz,xxx,yyy,zzz,xyy,xxy,xxz,xzz,yzz,yyz,xyz,xxxx,yyyy,zzzz,xxxy,xxxz,yyyx,yyyz,zzzx,zzzy,xxyy,xxzz,yyzz,xxyz,yxyz,zzxy,PMI1,PMI2,PMI3,Planar_RMSD,Inertia_Ratio,Max_Planar_Deviation,Conjugated_Ratio,Principal_Axes_Cosines_X,Principal_Axes_Cosines_Y,Principal_Axes_Cosines_Z,Projection_Area_Ratio,Gasteiger_Charge_Mean,Gasteiger_Charge_Std,EState_Mean,EState_Std,MolMR,TPSA,UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,best_omega
2.99,4.5452,0,5.4405,-68.0885,-59.4202,-63.9151,4.6031,0,0,79.8804,22.1641,0,-14.7737,26.6217,-0.0001,-4.8126,-0.8075,-0.0001,0,-1939.3542,-407.4288,-66.6116,-0.4103,0.0004,21.3477,0.0001,-0.0001,0,-397.85,-337.8504,-88.2766,0.0001,0.0001,-5.8252,133.1206727,748.514309,881.6349818,8.35842E-06,1.29327E-11,1.99741E-05,0.6875,0.007300991,0.988896805,0.148424404,2,-6.93889E-18,0.128840416,3.072916667,3.304703166,37.529,51.81,-0.134923682,4.115198135,10.1601696,9.536768913,2.926638842,6.665240765,1.107431293,0.067545101,7.936071873,4.283517361,
0.754,4.7936,0,4.8526,-58.3994,-70.3077,-72.33,-11.5811,0,-0.0001,-12.6439,24.5396,0.0002,17.2711,7.254,0.0016,-0.1999,-2.492,-0.0003,0,-2195.6124,-481.3342,-81.6044,-135.3596,0.0044,-47.058,-0.0007,0.0008,0.0001,-473.5252,-446.7624,-100.6509,0.0008,-0.0013,2.1968,149.4017942,934.4127156,1083.81451,2.26936E-06,8.15987E-13,6.11714E-06,0.6875,-0.098555696,0.856767495,-0.506197821,2,-3.46945E-18,0.108559978,2.96875,3.279031199,43.14,38.67,-0.191393942,4.156059742,10.14780521,9.522054672,2.845241785,6.690150738,1.149256587,0.022626327,7.966323376,4.263119698,0.214843
0.1688,2.887,0.0011,2.8919,-45.6687,-68.6927,-62.1659,12.9914,0.0001,-0.0001,-19.843,21.6426,-0.0022,-3.1672,-5.5429,0.0063,-6.8168,-0.6599,0.0004,-0.0031,-1475.7171,-435.4739,-62.6055,130.3043,0.0083,34.9102,-0.002,0.0052,-0.001,-379.7165,-322.1026,-83.1387,-0.0001,0.0098,-4.8673,131.4916274,722.8076406,854.2992681,1.95998E-06,6.03974E-13,4.16816E-06,0.733333333,0.002938357,-0.034928448,0.999385496,0,-7.40149E-18,0.153768719,3.033333333,3.044985004,35.324,64.7,-0.177301124,4.301526546,10.17661285,9.556548119,2.857152224,6.69096899,1.149453878,-0.076942369,7.967221737,4.23712492,0.232625
1.5957,-5.8506,0.0018,6.0643,-68.4891,-90.8863,-78.9196,-7.4242,0.006,0.0003,74.0856,-80.1541,-0.0029,-0.2434,-14.9862,0.0161,-1.7288,0.6501,0.0016,-0.0054,-2242.7708,-1264.7266,-81.7912,-121.7876,0.0618,51.4426,-0.0204,-0.0038,0.0019,-550.8819,-425.0757,-201.0256,0.0209,0.0391,5.1087,385.76804,922.0877798,1285.298215,0.283509509,0.012187563,0.528206883,0.736842105,0.288620499,0.079484554,-0.954138571,0,-6.57369E-18,0.125325003,3.096491228,3.464758381,47.773,75.35,0.506029367,4.816766739,10.44590378,10.12297153,4.124858856,7.032643795,0.884841323,-0.289245576,7.504769802,4.689095974,0.21277
0.395,-7.8295,-0.0341,7.8396,-60.2589,-90.1398,-82.498,4.8591,0.1853,0.0677,-12.4096,-86.6581,0.0644,-1.2398,-26.6406,-0.2782,-4.9455,3.8616,0.1148,0.0153,-2070.1606,-1296.7045,-90.0952,46.6175,1.2986,-24.573,1.6311,-0.2171,0.0309,-578.0842,-463.3348,-212.5617,0.0128,1.3285,0.4721,389.1244555,953.0029125,1255.944385,0.568296525,0.046376082,1.264994862,0.666666667,-0.107173661,-0.923936736,0.3672257,2,-2.64339E-18,0.086306431,3.150793651,3.835536594,52.183,49.57,0.471480906,4.920079231,10.43540478,10.11872578,4.051310062,7.064025402,0.916957915,-0.352113754,7.533440113,4.645886421,0.202726
-3.6431,1.8776,0,4.0985,-89.8984,-79.1544,-89.5208,-17.4338,0,0,-152.9554,12.8073,0,18.2639,5.6681,0.0001,-4.3715,-2.5192,0,0,-4426.2351,-621.4816,-97.8059,-301.7451,-0.0001,-59.9512,0,0,0,-847.9696,-803.2651,-138.8484,0,-0.0001,6.2198,209.9156162,1668.726782,1878.642398,2.01911E-05,4.19004E-11,4.11943E-05,0.652173913,-0.077270905,-0.282613989,-0.956116384,0,0,0.120742222,3.014492754,3.690237558,57.1197,54.46,-0.035987064,2.412697315,9.973404884,10.225214,3.853151083,6.655928135,1.101292729,0.507530093,7.386704445,5.499485016,0.314656
0.9715,3.6683,0,3.7947,-70.0635,-94.8719,-93.7408,16.0957,0,0,24.1673,29.4961,0,-1.0812,0.6448,-0.0001,-0.8793,-3.442,0,0,-3944.5703,-857.3498,-101.2711,268.9482,-0.0002,71.0189,0,0,0,-996.8913,-865.2862,-168.6716,0,-0.0001,-3.0829,274.4474637,1879.310868,2153.758332,4.61891E-05,1.95397E-10,9.98471E-05,0.666666667,-0.062328997,-0.170279613,0.983422569,0,-6.36065E-18,0.103418819,3,3.663111004,60.564,51.56,0.337750077,3.31143117,10.30875206,9.718352318,4.11894989,6.531763554,0.749668777,0.595935643,7.485732555,4.50454855,0.205472
0.474,3.6992,0,3.7295,-71.5041,-95.6648,-93.6747,-14.4536,0,0,37.4805,16.7725,0,-5.2995,53.0087,0,-3.6279,-1.7381,0,0,-4118.2142,-847.1288,-101.2081,-213.1323,0,-53.6695,0,0,0,-957.0504,-888.2966,-161.508,0,0,6.0354,273.3621138,1871.046988,2144.409101,3.88619E-05,1.31759E-10,8.91974E-05,0.666666667,0.042679533,0.265408063,-0.96319106,0,-9.25186E-18,0.103156024,3,3.651006336,60.564,51.56,0.279525846,3.233150482,10.23856926,9.673326492,4.051012039,6.566103458,0.805602789,0.663710475,7.504344463,4.534911156,0.207926
-1.8657,-0.3905,0,1.9061,-72.8219,-96.0805,-93.6533,-24.8407,-0.0001,0,-38.5121,-6.9803,-0.0001,-4.6584,-3.8525,0.0006,-2.0222,0.5375,0.0003,0.0001,-4019.5466,-859.1674,-101.0927,-250.4235,-0.0011,-149.0325,-0.0001,0.0001,0,-1013.1546,-880.9418,-164.4397,0.0001,-0.0003,10.2716,271.5964489,1879.414922,2151.011369,7.82459E-05,5.487E-10,0.000185078,0.666666667,0.045020496,0.105741307,-0.993374014,0,-5.78241E-19,0.102028507,3,3.659830269,60.564,51.56,0.119561441,3.070633888,10.06744766,9.555652618,3.77084446,6.66126442,0.96299243,0.779799342,7.580958843,4.612781525,0.209661
-0.0905,4.1185,0,4.1195,-71.0382,-98.5341,-90.1903,-4.7393,0,0,37.8926,20.0654,0,-17.9822,95.7907,0,2.5819,-1.8539,0,0,-3844.15,-836.7732,-93.2041,-70.7834,0.0002,-4.8649,0,0,0,-952.7742,-815.7783,-155.1405,0.0001,0,4.2985,270.9659697,1827.833249,2098.799219,2.0834E-05,3.77823E-11,6.22008E-05,0.727272727,0.117274896,0.843425216,0.524290476,2,-3.78485E-18,0.136845853,2.939393939,3.279121154,56.154,77.34,-0.107873961,4.023891449,10.16470528,9.552708626,3.016715288,6.658344269,1.085682154,0.123022296,7.901068211,4.30770874,0.221958
