x,y,z,tot,xx,yy,zz,xy,xz,yz,xxx,yyy,zzz,xyy,xxy,xxz,xzz,yzz,yyz,xyz,xxxx,yyyy,zzzz,xxxy,xxxz,yyyx,yyyz,zzzx,zzzy,xxyy,xxzz,yyzz,xxyz,yxyz,zzxy,PMI1,PMI2,PMI3,Planar_RMSD,Inertia_Ratio,Max_Planar_Deviation,Conjugated_Ratio,Principal_Axes_Cosines_X,Principal_Axes_Cosines_Y,Principal_Axes_Cosines_Z,Projection_Area_Ratio,Gasteiger_Charge_Mean,Gasteiger_Charge_Std,EState_Mean,EState_Std,MolMR,TPSA,UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,best_omega
0.754,4.7936,0,4.8526,-58.3994,-70.3077,-72.33,-11.5811,0,-0.0001,-12.6439,24.5396,0.0002,17.2711,7.254,0.0016,-0.1999,-2.492,-0.0003,0,-2195.6124,-481.3342,-81.6044,-135.3596,0.0044,-47.058,-0.0007,0.0008,0.0001,-473.5252,-446.7624,-100.6509,0.0008,-0.0013,2.1968,156.2877933,928.429063,1084.716856,1.82168E-05,5.46988E-11,3.66121E-05,0.6875,-0.050858164,0.12328995,0.991066615,0,-3.46945E-18,0.108559978,2.96875,3.279031199,43.14,38.67,-0.406637996,4.115626335,10.10719776,8.748864174,1.891070843,3.332223415,0.471184999,9.252946854,7.433146,6.751038551,
0.1688,2.887,0.0011,2.8919,-45.6687,-68.6927,-62.1659,12.9914,0.0001,-0.0001,-19.843,21.6426,-0.0022,-3.1672,-5.5429,0.0063,-6.8168,-0.6599,0.0004,-0.0031,-1475.7171,-435.4739,-62.6055,130.3043,0.0083,34.9102,-0.002,0.0052,-0.001,-379.7165,-322.1026,-83.1387,-0.0001,0.0098,-4.8673,129.7879227,727.3160817,855.0424528,0.086549141,0.001172011,0.183322279,0.733333333,-0.007119416,-0.992591365,0.121291784,2,-7.40149E-18,0.153768719,3.033333333,3.044985004,35.324,64.7,-0.422035605,4.221830845,10.1142025,8.749268532,1.893757463,3.320461273,0.452852011,9.304216385,7.422046661,6.774627686,0.300548
1.5957,-5.8506,0.0018,6.0643,-68.4891,-90.8863,-78.9196,-7.4242,0.006,0.0003,74.0856,-80.1541,-0.0029,-0.2434,-14.9862,0.0161,-1.7288,0.6501,0.0016,-0.0054,-2242.7708,-1264.7266,-81.7912,-121.7876,0.0618,51.4426,-0.0204,-0.0038,0.0019,-550.8819,-425.0757,-201.0256,0.0209,0.0391,5.1087,369.5024296,894.1161591,1191.308673,0.518332098,0.042985151,0.981359868,0.736842105,-0.073098854,0.404342642,-0.911681735,0,-6.57369E-18,0.125325003,3.096491228,3.464758381,47.773,75.35,0.361660391,4.804831505,10.24242973,9.431301117,2.796422958,2.823972225,0.418542832,9.693886757,7.537746429,7.227298737,0.276502
0.395,-7.8295,-0.0341,7.8396,-60.2589,-90.1398,-82.498,4.8591,0.1853,0.0677,-12.4096,-86.6581,0.0644,-1.2398,-26.6406,-0.2782,-4.9455,3.8616,0.1148,0.0153,-2070.1606,-1296.7045,-90.0952,46.6175,1.2986,-24.573,1.6311,-0.2171,0.0309,-578.0842,-463.3348,-212.5617,0.0128,1.3285,0.4721,358.4259187,897.0740045,1255.497377,0.002331894,7.86134E-07,0.009075318,0.666666667,0.023313663,0.107037412,-0.993981622,0,-2.64339E-18,0.086306431,3.150793651,3.835536594,52.183,49.57,0.201622054,4.962453365,10.21778965,9.370447159,2.688446522,2.832746029,0.409724265,9.759309769,7.512809277,7.248948097,0.267517
-3.6431,1.8776,0,4.0985,-89.8984,-79.1544,-89.5208,-17.4338,0,0,-152.9554,12.8073,0,18.2639,5.6681,0.0001,-4.3715,-2.5192,0,0,-4426.2351,-621.4816,-97.8059,-301.7451,-0.0001,-59.9512,0,0,0,-847.9696,-803.2651,-138.8484,0,-0.0001,6.2198,204.6722441,1656.998232,1861.670476,6.3533E-06,4.15535E-12,1.58816E-05,0.652173913,-0.008555599,0.968193012,0.250058179,2,0,0.120742222,3.014492754,3.690237558,57.1197,54.46,0.501298904,2.505967617,9.876255035,9.360904694,3.091257334,3.329617023,0.548256993,8.502012253,6.910420895,6.768128872,0.244067
0.9715,3.6683,0,3.7947,-70.0635,-94.8719,-93.7408,16.0957,0,0,24.1673,29.4961,0,-1.0812,0.6448,-0.0001,-0.8793,-3.442,0,0,-3944.5703,-857.3498,-101.2711,268.9482,-0.0002,71.0189,0,0,0,-996.8913,-865.2862,-168.6716,0,-0.0001,-3.0829,266.5371633,1835.416777,2101.95394,1.71037E-05,2.73196E-11,3.62506E-05,0.666666667,0.001909885,-0.590750756,0.806851843,0,-6.36065E-18,0.103418819,3,3.663111004,60.564,51.56,0.445037514,3.608088493,10.32153225,9.276592255,2.829794168,3.352592707,0.824788272,9.227320671,7.370369911,6.573188305,0.27091
0.474,3.6992,0,3.7295,-71.5041,-95.6648,-93.6747,-14.4536,0,0,37.4805,16.7725,0,-5.2995,53.0087,0,-3.6279,-1.7381,0,0,-4118.2142,-847.1288,-101.2081,-213.1323,0,-53.6695,0,0,0,-957.0504,-888.2966,-161.508,0,0,6.0354,261.1386475,1833.779768,2094.918415,2.19632E-05,4.28006E-11,3.95662E-05,0.666666667,0.258832806,0.751311489,-0.607072174,2,-9.25186E-18,0.103156024,3,3.651006336,60.564,51.56,0.439500362,3.505997658,10.28845215,9.268242836,2.793037415,3.346338987,0.800038397,9.151687622,7.378780365,6.572819233,0.270537
-1.8657,-0.3905,0,1.9061,-72.8219,-96.0805,-93.6533,-24.8407,-0.0001,0,-38.5121,-6.9803,-0.0001,-4.6584,-3.8525,0.0006,-2.0222,0.5375,0.0003,0.0001,-4019.5466,-859.1674,-101.0927,-250.4235,-0.0011,-149.0325,-0.0001,0.0001,0,-1013.1546,-880.9418,-164.4397,0.0001,-0.0003,10.2716,256.4563323,1839.9331,2096.389432,3.79431E-05,1.37563E-10,7.76177E-05,0.666666667,-0.072366871,0.830978003,0.551578276,2,-5.78241E-19,0.102028507,3,3.659830269,60.564,51.56,0.268852919,3.338249445,10.10287189,9.09142971,2.525179386,3.378153086,0.766565561,8.976682663,7.439689159,6.507228374,0.273068
-0.0905,4.1185,0,4.1195,-71.0382,-98.5341,-90.1903,-4.7393,0,0,37.8926,20.0654,0,-17.9822,95.7907,0,2.5819,-1.8539,0,0,-3844.15,-836.7732,-93.2041,-70.7834,0.0002,-4.8649,0,0,0,-952.7742,-815.7783,-155.1405,0.0001,0,4.2985,265.2029777,1781.957789,2047.160767,3.25216E-05,9.98506E-11,6.31889E-05,0.727272727,0.02067663,-0.156102163,0.987524476,0,-3.78485E-18,0.136845853,2.939393939,3.279121154,56.154,77.34,-0.246564567,3.933823109,10.12227535,8.833281517,2.026164532,3.335147381,0.542042792,9.202278137,7.420178413,6.695506096,0.281972
0.3876,2.9273,0,2.9528,-64.0396,-86.0233,-87.6754,-13.2667,0.0001,0,-23.601,9.7849,0,21.7653,38.5431,-0.0003,-8.5448,-3.23,-0.0002,0.0001,-3691.9903,-634.9797,-93.9254,-154.0719,0.001,-66.3461,0.0002,-0.0001,0,-804.862,-801.9357,-132.8345,0.0005,0.0004,3.5149,196.8391528,1651.687076,1848.526228,1.8371E-05,2.9849E-11,4.26576E-05,0.681818182,-0.050125556,-0.289894297,-0.955745115,0,-1.89243E-18,0.141872645,2.992424242,3.557901962,55.035,51.81,0.331097662,4.208817005,9.878404617,9.438602448,3.271662951,3.467474699,0.66311121,8.815656662,7.216777802,6.840085983,0.276765
